,Unnamed: 0,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,genres
81356,103862,0.96,['Ennio Morricone'],0.233,134133,0.195,0,6opPrJUpq4Pl5c84eCwLmo,0.914,2,0.0793,-17.202,1,Gabriel's Oboe,58,1986,0.0461,61.21100000000001,0.0675,1986,['country']
65317,83600,0.064,['Bob Seger'],0.505,223090,0.747,0,0XVR94voJPToKX1XoOw0ot,0.00647,8,0.244,-5.4220000000000015,1,Mainstreet,58,1976-10-22,0.0308,139.865,0.529,1976,['blues' 'country' 'rock']
65401,83687,0.4370000000000001,['Steely Dan'],0.75,456640,0.58,0,7Hx2EA4wGaxtsiZCVVLV1i,0.000472,0,0.105,-12.475,1,Deacon Blues,58,1977-01-01,0.0355,115.871,0.614,1977,['country' 'rock']
65413,83699,0.6970000000000001,['Waylon Jennings'],0.6940000000000001,202027,0.46,0,4WScDSwAa9m48pgHugVkCo,0.004370000000000001,7,0.236,-9.863,1,"Luckenbach, Texas (Back to the Basics of Love)",58,1977,0.0322,102.935,0.66,1977,['country' 'rock']
65428,83714,0.526,['Jerry Reed'],0.514,168467,0.941,0,4NzlpYVrTYG1eo8BCu3MLB,9.76e-06,7,0.163,-8.118,1,East Bound and Down,58,1977-08-01,0.061,120.795,0.716,1977,['country' 'rock']
72289,92453,0.787,['Ennio Morricone'],0.304,162133,0.657,0,1JSIWsJfxOji0FrxFcxdCK,0.954,0,0.113,-13.567,1,"The Good, The Bad And The Ugly - Main Title",58,1967,0.0824,120.338,0.102,1967,['country']
66360,84682,0.594,['George Jones'],0.43,195333,0.173,0,6qMgx8ys4MNNxypaIvbG0i,0.000111,8,0.224,-18.597,1,He Stopped Loving Her Today,58,1987-01-01,0.0321,72.10300000000002,0.365,1987,['country' 'rock']
66270,84590,0.229,['Steve Earle'],0.6609999999999999,155267,0.496,0,62ZRHYSOIT9WeZnz18kTHS,0.0,7,0.0753,-15.53,1,Guitar Town,58,1986-01-01,0.0357,165.549,0.948,1986,['country' 'rock']
66265,84585,0.377,['Randy Travis'],0.708,178973,0.5770000000000001,0,6JdbV5DDltMVCyV0twmKwj,0.0,0,0.0718,-8.229,1,Diggin' Up Bones,58,1986-06-02,0.0261,85.667,0.836,1986,['country' 'rock']
66383,84706,0.762,"['Dolly Parton', 'Linda Ronstadt', 'Emmylou Harris']",0.609,216573,0.368,0,27876bQcDNkZhWqvF0zfFN,6.28e-06,10,0.335,-13.338,1,Wildflowers - 2015 Remaster,58,1987-03-03,0.0294,90.373,0.618,1987,['country' 'pop' 'rock']
66448,84774,0.691,['Keith Whitley'],0.6659999999999999,223733,0.29600000000000004,0,1G60o2g78glgxC0No8SsvQ,3.73e-06,3,0.0552,-15.412,1,When You Say Nothing at All,58,1988-05-30,0.0247,80.006,0.392,1988,['country' 'rock']
66540,84870,0.201,['Don Henley'],0.579,322600,0.529,0,7jZ4UZAmg006Qx3rVuF7JI,0.0,2,0.231,-11.548,1,The Heart Of The Matter,58,1989-01-01,0.025,88.156,0.38,1989,['country' 'pop' 'rock']
116682,150572,0.926,['Yann Tiersen'],0.638,95093,0.384,0,6UKrqWqzDTCYBCH2OXAMC3,0.341,7,0.44,-7.193,1,I've Never Been There,58,1996,0.047,99.967,0.7659999999999999,1996,['country' 'pop']
12326,15846,0.246,['Parker McCollum'],0.64,201573,0.609,0,7fRUbeffEPwYVhZul3mtKF,0.0,0,0.0996,-7.298999999999999,1,Misunderstood,58,2017-11-10,0.0251,109.969,0.4320000000000001,2017,['country']
5463,7110,0.996,"['Johann Sebastian Bach', 'Lang Lang']",0.5,327080,0.0104,0,4ksxLnn1ymLGRKnwhba45Y,0.949,2,0.0573,-26.764,1,"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air ""On a G String"" (Arr. for Piano)",58,2010-11-29,0.0622,114.76,0.133,2010,['classical' 'country' 'pop' 'rock']
66166,84479,0.00105,['Tom Petty and the Heartbreakers'],0.502,307333,0.54,0,3BSoskNONnjn05yRO2tYFX,0.008490000000000001,10,0.243,-15.93,1,Don't Come Around Here No More,58,1985-03-26,0.0318,160.531,0.922,1985,['country' 'pop' 'rock']
75524,96056,0.0626,['Martina McBride'],0.613,243160,0.8009999999999999,0,01CnYyPXMFRzOFVQBU8WMb,1.15e-05,8,0.124,-4.431,1,This One's for the Girls,58,2003-09-30,0.0354,126.966,0.609,2003,['country']
75614,96156,0.0337,['Kenny Chesney'],0.5770000000000001,302667,0.483,0,1CjQCQsl9FDb3WhjGcFOzG,6.22e-06,4,0.3,-8.141,1,There Goes My Life,58,2004-01-22,0.0324,135.77,0.218,2004,['country']
76110,96692,0.201,['Kenny Chesney'],0.48,206227,0.933,0,30ZGbfPsjDNCgL21Qzciuj,0.0,4,0.0663,-4.874,1,Summertime,58,2009-05-19,0.0976,167.976,0.721,2009,['country']
